Year,Agriculture,Mining & Manufacturing,Construction,Electricity & Gas Distribution,Transport Storage & Communication,Wholesale & Retail Trade,Others
2000,48.42,11.55,5.78,0.7,5.03,13.5,15.02
2001,48.42,11.55,5.78,0.7,5.03,13.5,15.02
2002,42.09,13.91,6.05,0.81,5.9,14.85,16.39
2003,42.09,13.91,6.05,0.81,5.9,14.85,16.39
2004,43.05,13.8,5.83,0.67,5.73,14.8,16.12
2005,43.05,13.8,5.83,0.67,5.73,14.8,16.12
2006,43.37,13.93,6.13,0.66,5.74,14.67,15.5
2007,43.61,13.65,6.56,0.75,5.39,14.42,15.62
2008,44.65,13.11,6.29,0.7,5.46,14.62,15.17
2009,45.08,13.14,6.62,0.69,5.23,16.47,12.77
2010,44.96,13.34,6.74,0.8,5.24,16.28,12.64
2011,45.05,13.8,6.95,0.48,5.11,16.15,12.46
2012,45.05,13.8,6.95,0.42,5.11,14.83,13.84
2013,43.71,14.2,7.44,0.53,4.98,14.39,14.75
2014,43.48,14.16,7.33,0.48,5.44,14.58,14.53
2015,42.27,15.49,7.31,0.79,5,14.64,14.5
2018,38.5,16.28,7.61,0.73,5.67,14.92,16.29
2019,39.16,15.25,8.01,0.78,5.76,14.5,16.54
2021,37.4,15.2,9.5,0.6,6.3,14.4,16.6
